"Focus Trading Ltd"
"Trial Balance - Detailed"
"From 01/01/2019 To 24/05/2019"

"Posting Date","G/L Account No.",Name,"Doc. Type","Doc. No.",Debit,Credit,Amount,"Entry No."
04/03/2019,1010,Goodwill,,PCN0058,34.00,,5785860.08,2966
05/03/2019,1010,Goodwill,,SJ0031,,546.00,5785314.08,3529
06/03/2019,1010,Goodwill,,PCN0067,26.00,,5785340.08,3395
07/03/2019,1010,Goodwill,,SJ0023,,4534.00,5780806.08,3218
07/03/2019,1010,Goodwill,,SJ0032,,1729.46,5779076.62,3696
07/03/2019,1010,Goodwill,,SJ0034,16.00,,5779092.62,4082
08/03/2019,1010,Goodwill,,US-01,,657.00,5778435.62,3227
08/03/2019,1010,Goodwill,,"TC - 01",,276.00,5778159.62,3243
11/03/2019,1010,Goodwill,,TC-02,32.00,,5778191.62,3245
13/03/2019,1010,Goodwill,,SJ0032,929369.50,,6707561.13,3697
14/03/2019,1010,Goodwill,,SJ0029,,456.00,6707105.13,3414
14/03/2019,1010,Goodwill,,SJ0034,,15.00,6707090.13,4079
18/03/2019,1010,Goodwill,,PDN0048,,,6707090.13,3532
18/03/2019,1010,Goodwill,,PDN0049,,45.00,6707045.13,3535
19/03/2019,1010,Goodwill,,PI0222,23324.00,,6730369.13,3572
20/03/2019,1010,Goodwill,,CJ0095,10613.60,,6740982.73,3673
20/03/2019,1010,Goodwill,,SI0269,,29580.00,6711402.73,3737
28/03/2019,1010,Goodwill,,GJ0052,1500.00,,6712902.73,3768
02/04/2019,1010,Goodwill,,GJ0053,,45234.00,6667668.73,4307
02/04/2019,1010,Goodwill,,GJ0053,,45234.00,6622434.73,4309
02/04/2019,1010,Goodwill,,GJ0053,,45234.00,6577200.73,4311
03/04/2019,1010,Goodwill,,PCN0073,1.60,,6577202.33,3963
04/04/2019,1010,Goodwill,,PDN0093,,6.50,6577195.83,6071
09/04/2019,1010,Goodwill,,CJ0099,2574.13,,6579769.96,4316
09/04/2019,1010,Goodwill,,SJ0037,,324.00,6579445.96,4345
09/04/2019,1010,Goodwill,,IJ0075,,34.00,6579411.96,5923
17/04/2019,1010,Goodwill,,SI0320,100.00,,6579511.96,4540
18/04/2019,1010,Goodwill,,PCN0082,64.00,,6579575.96,4525
18/04/2019,1010,Goodwill,,SI0322,100.00,,6579675.96,4561
24/04/2019,1010,Goodwill,,PCN0084,324.00,,6579999.96,4674
26/04/2019,1010,Goodwill,,565,,227.00,6579772.96,4807
26/04/2019,1010,Goodwill,,PDN0088,,56.87,6579716.09,5847
29/04/2019,1010,Goodwill,,SJ0043,,3452.00,6576264.09,5017
30/04/2019,1010,Goodwill,,GJ0058,93.20,,6576357.29,4943
30/04/2019,1010,Goodwill,,GJ0060,172.80,,6576530.09,4947
01/05/2019,1010,Goodwill,,SI0356,,54.00,6576476.09,5007
01/05/2019,1010,Goodwill,,SJ0051,,11.50,6576464.59,5156
01/05/2019,1010,Goodwill,,SJ0049,17.00,,6576481.59,5158
01/05/2019,1010,Goodwill,,SJ0057,,564.67,6575916.92,5261
01/05/2019,1010,Goodwill,,IJ0087,,34.00,6575882.92,5391
02/05/2019,1010,Goodwill,,PCN0091,60.72,,6575943.64,5028
02/05/2019,1010,Goodwill,,PI0288,354.00,,6576297.64,5038
03/05/2019,1010,Goodwill,,SJ0045,,3453.00,6572844.64,5122
03/05/2019,1010,Goodwill,,SJ0046,345.00,,6573189.64,5125
03/05/2019,1010,Goodwill,,SJ0047,,10.00,6573179.64,5131
03/05/2019,1010,Goodwill,,SJ0057,646.00,,6573825.64,5262
04/05/2019,1010,Goodwill,,SJ0045,534.00,,6574359.64,5123
07/05/2019,1010,Goodwill,,CJ0107,4353.00,,6578712.64,5149
07/05/2019,1010,Goodwill,,SJ0052,,534.00,6578178.64,5161
07/05/2019,1010,Goodwill,,SJ0054,,854.00,6577324.64,5170
07/05/2019,1010,Goodwill,,IJ0092,,40.00,6577284.64,5668
07/05/2019,1010,Goodwill,,IJ0092,,80.00,6577204.64,5670
08/05/2019,1010,Goodwill,,CJ0107,,5323.00,6571881.64,5150
08/05/2019,1010,Goodwill,,SJ0050,245.00,,6572126.64,5154
08/05/2019,1010,Goodwill,,SJ0052,345.00,,6572471.64,5162
08/05/2019,1010,Goodwill,,SJ0054,652.00,,6573123.64,5171
08/05/2019,1010,Goodwill,,PI0293,424.57,,6573548.21,5236
08/05/2019,1010,Goodwill,,PDN0076,,456.00,6573092.21,5241
09/05/2019,1010,Goodwill,,SI0369,,324.00,6572768.21,5275
10/05/2019,1010,Goodwill,,PCN0096,453.00,,6573221.21,5387
14/05/2019,1010,Goodwill,,CJ0120,250.00,,6573471.21,5428
14/05/2019,1010,Goodwill,,CJ0120,677.00,,6574148.21,5429
14/05/2019,1010,Goodwill,,CJ0120,,300.00,6573848.21,5430
14/05/2019,1010,Goodwill,,CJ0121,250.00,,6574098.21,5434
14/05/2019,1010,Goodwill,,CJ0121,677.00,,6574775.21,5435
14/05/2019,1010,Goodwill,,CJ0121,,300.00,6574475.21,5436
14/05/2019,1010,Goodwill,,GJ0084,,5000.00,6569475.21,5448
14/05/2019,1010,Goodwill,,GJ0084,4500.00,,6573975.21,5449
14/05/2019,1010,Goodwill,,GJ0084,500.00,,6574475.21,5450
14/05/2019,1010,Goodwill,,GJ0084,4500.00,,6578975.21,5454
14/05/2019,1010,Goodwill,,GJ0084,500.00,,6579475.21,5455
14/05/2019,1010,Goodwill,,GJ0084,,5000.00,6574475.21,5456
14/05/2019,1010,Goodwill,,GJ0084,,5000.00,6569475.21,5460
14/05/2019,1010,Goodwill,,GJ0084,4500.00,,6573975.21,5461
14/05/2019,1010,Goodwill,,GJ0084,500.00,,6574475.21,5462
14/05/2019,1010,Goodwill,,IJ0088,100.00,,6574575.21,5480
14/05/2019,1010,Goodwill,,GJ0088,,5000.00,6569575.21,5985
14/05/2019,1010,Goodwill,,GJ0088,,5000.00,6564575.21,5993
14/05/2019,1010,Goodwill,,GJ0088,,5000.00,6559575.21,5997
17/05/2019,1010,Goodwill,,SI0394,,170.01,6559405.20,5659
17/05/2019,1010,Goodwill,,SI0394,2.00,,6559407.20,5660
20/05/2019,1010,Goodwill,,SI0413,,,6559407.20,5874
20/05/2019,1010,Goodwill,,PCN0099,37.68,,6559444.88,5883
20/05/2019,1010,Goodwill,,PCN0100,34.67,,6559479.55,5890
20/05/2019,1010,Goodwill,,GJ0087,,5000.00,6554479.55,5899
20/05/2019,1010,Goodwill,,GJ0087,,5000.00,6549479.55,5907
20/05/2019,1010,Goodwill,,GJ0087,,5000.00,6544479.55,5911
20/05/2019,1010,Goodwill,,CJ0129,677.00,,6545156.55,5921
20/05/2019,1010,Goodwill,,CJ0130,45.78,,6545202.33,5961
21/05/2019,1010,Goodwill,,PCN0101,137.01,,6545339.34,6015
21/05/2019,1010,Goodwill,,PCN0101,,6.17,6545333.17,6016
22/05/2019,1010,Goodwill,,SI0417,,71.01,6545262.16,6039
,1010,Goodwill,"Closing Balance",,6800167.5145383,254807.18717,6545262.1607016,
,1050,"Trade Mark","Opening Balance",,,,-6480.019999999997,
01/01/2019,1050,"Trade Mark",,PI0151,,,-6480.02,1812
01/02/2019,1050,"Trade Mark",,PCN0029,4.00,,-6476.02,1561
01/02/2019,1050,"Trade Mark",,CJ0037,56.00,,-6420.02,2010
06/02/2019,1050,"Trade Mark",,SJ0017,,209.20,-6629.22,1687
07/02/2019,1050,"Trade Mark",,PCN0037,15.75,,-6613.47,1843
08/02/2019,1050,"Trade Mark",,SI0150,,312.80,-6926.27,1700
12/02/2019,1050,"Trade Mark",,SI0148,,408.00,-7334.27,1690
12/02/2019,1050,"Trade Mark",,SI0176,,6.00,-7340.27,1969
12/02/2019,1050,"Trade Mark",,PCN0038,16.00,,-7324.27,1995
14/02/2019,1050,"Trade Mark",,CJ0041,45.00,,-7279.27,2148
14/02/2019,1050,"Trade Mark",,CJ0041,,55.00,-7334.27,2149
14/02/2019,1050,"Trade Mark",,SJ0025,,678.00,-8012.27,3223
15/02/2019,1050,"Trade Mark",,SI0183,,66.00,-8078.27,2045
18/02/2019,1050,"Trade Mark",,SI0210,,40.00,-8118.27,2567
19/02/2019,1050,"Trade Mark",,565,565.00,,-7553.27,4493
19/02/2019,1050,"Trade Mark",,hg65,,67.00,-7620.27,4811
21/02/2019,1050,"Trade Mark",,CJ0059,,35.43,-7655.71,2573
22/02/2019,1050,"Trade Mark",,PI0170,20.00,,-7635.71,2700
26/02/2019,1050,"Trade Mark",,PCN0057,,,-7635.71,2941
01/03/2019,1050,"Trade Mark",,SI0230,,,-7635.71,2881
04/03/2019,1050,"Trade Mark",,SI0233,,9.00,-7644.71,2903
04/03/2019,1050,"Trade Mark",,SI0239,,27.20,-7671.91,2957
04/03/2019,1050,"Trade Mark",,SI0240,,27.20,-7699.11,2960
05/03/2019,1050,"Trade Mark",,SI0237,,0.40,-7699.51,2939
05/03/2019,1050,"Trade Mark",,CJ0069,,45.00,-7744.51,2981
05/03/2019,1050,"Trade Mark",,SJ0022,632.00,,-7112.51,3186
06/03/2019,1050,"Trade Mark",,PCN0060,,,-7112.51,3008
06/03/2019,1050,"Trade Mark",,PCN0061,25.00,,-7087.51,3047
06/03/2019,1050,"Trade Mark",,PCN0064,840.00,,-6247.51,3305
07/03/2019,1050,"Trade Mark",,CJ0082,396.00,,-5851.51,3112
07/03/2019,1050,"Trade Mark",,PI0188,45.00,,-5806.51,3116
07/03/2019,1050,"Trade Mark",,SJ0027,,856.26,-6662.77,3258
08/03/2019,1050,"Trade Mark",,PI0189,544.00,,-6118.77,3150
12/03/2019,1050,"Trade Mark",,PI0200,45.00,,-6073.77,3314
12/03/2019,1050,"Trade Mark",,PDN0046,,,-6073.77,3425
12/03/2019,1050,"Trade Mark",,PDN0047,,43.00,-6116.77,3430
14/03/2019,1050,"Trade Mark",,PCN0068,25.00,,-6091.77,3398
15/03/2019,1050,"Trade Mark",,SJ0031,365.00,,-5726.77,3530
19/03/2019,1050,"Trade Mark",,PI0220,3432.46,,-2294.31,3564
19/03/2019,1050,"Trade Mark",,PI0221,456.67,,-1837.64,3567
20/03/2019,1050,"Trade Mark",,PCN0069,512.00,,-1325.64,3606
20/03/2019,1050,"Trade Mark",,PDN0050,,23.00,-1348.64,3612
20/03/2019,1050,"Trade Mark",,PDN0051,,345.00,-1693.64,3624
20/03/2019,1050,"Trade Mark",,GJ0049,,49.20,-1742.84,3647
20/03/2019,1050,"Trade Mark",,SI0269,,18360.00,-20102.84,3738
28/03/2019,1050,"Trade Mark",,GJ0052,,1500.00,-21602.84,3767
01/04/2019,1050,"Trade Mark",,SI0273,,48.00,-21650.84,3831
01/04/2019,1050,"Trade Mark",,PI0237,,,-21650.84,3877
02/04/2019,1050,"Trade Mark",,PI0238,23.00,,-21627.84,3923
02/04/2019,1050,"Trade Mark",,SI0279,,12.00,-21639.84,3926
02/04/2019,1050,"Trade Mark",,SI0280,,4.00,-21643.84,3929
02/04/2019,1050,"Trade Mark",,GJ0053,45234.00,,23590.16,4306
03/04/2019,1050,"Trade Mark",,PDN0053,,12.80,23577.36,3950
03/04/2019,1050,"Trade Mark",,SI0283,,2.40,23574.96,3960
03/04/2019,1050,"Trade Mark",,SI0291,,,23574.96,4039
03/04/2019,1050,"Trade Mark",,PCN0080,1809.38,,25384.34,4313
04/04/2019,1050,"Trade Mark",,PI0244,20.00,,25404.34,4112
04/04/2019,1050,"Trade Mark",,PCN0078,,4.00,25400.34,4117
04/04/2019,1050,"Trade Mark",,PDN0057,,22.00,25378.34,4136
04/04/2019,1050,"Trade Mark",,SI0293,,23.00,25355.34,4139
05/04/2019,1050,"Trade Mark",,PDN0060,,10.00,25345.34,4298
05/04/2019,1050,"Trade Mark",,PDN0060,,3.00,25342.34,4299
05/04/2019,1050,"Trade Mark",,PDN0061,,54.00,25288.34,4325
05/04/2019,1050,"Trade Mark",,PDN0062,,324.00,24964.34,4331
08/04/2019,1050,"Trade Mark",,IJ0074,,45.00,24919.34,4295
08/04/2019,1050,"Trade Mark",,PI0250,,,24919.34,4320
09/04/2019,1050,"Trade Mark",,PDN0063,,2.00,24917.34,4336
09/04/2019,1050,"Trade Mark",,IJ0075,20.00,,24937.34,5925
10/04/2019,1050,"Trade Mark",,CJ0102,,22.40,24914.94,4370
11/04/2019,1050,"Trade Mark",,SI0310,,55.00,24859.94,4382
16/04/2019,1050,"Trade Mark",,PI0258,12.00,,24871.94,4451
17/04/2019,1050,"Trade Mark",,SI0320,90.00,,24961.94,4541
18/04/2019,1050,"Trade Mark",,SI0318,,128.80,24833.14,4528
18/04/2019,1050,"Trade Mark",,SI0318,5.15,,24838.29,4529
18/04/2019,1050,"Trade Mark",,SI0321,100.00,,24938.29,4551
22/04/2019,1050,"Trade Mark",,443,34.00,,24972.29,4616
23/04/2019,1050,"Trade Mark",,SI0326,,1.32,24970.97,4594
23/04/2019,1050,"Trade Mark",,656,,676.00,24294.97,4618
23/04/2019,1050,"Trade Mark",,PDN0080,,345.56,23949.41,5528
24/04/2019,1050,"Trade Mark",,SI0330,,13.60,23935.81,4671
24/04/2019,1050,"Trade Mark",,SI0334,,10.00,23925.81,4705
24/04/2019,1050,"Trade Mark",,PI0273,20.00,,23945.81,4718
25/04/2019,1050,"Trade Mark",,PI0277,532.00,,24477.81,4749
25/04/2019,1050,"Trade Mark",,PDN0069,,9.20,24468.61,4754
25/04/2019,1050,"Trade Mark",,SI0340,,,24468.61,4794
26/04/2019,1050,"Trade Mark",,SI0343,,96.00,24372.61,4817
26/04/2019,1050,"Trade Mark",,SI0344,,16.00,24356.61,4820
27/04/2019,1050,"Trade Mark",,SI0345,,324.00,24032.61,4828
29/04/2019,1050,"Trade Mark",,PCN0089,132.00,,24164.61,4867
29/04/2019,1050,"Trade Mark",,SI0349,,,24164.61,4891
29/04/2019,1050,"Trade Mark",,PI0285,462158.75,,486323.37,4930
29/04/2019,1050,"Trade Mark",,PDN0070,,5025015.96,-4538692.59,4940
29/04/2019,1050,"Trade Mark",,PI0286,6237399.77,,1698707.17,4974
01/05/2019,1050,"Trade Mark",,SI0354,,3233.48,1695473.69,5000
01/05/2019,1050,"Trade Mark",,SI0355,,324.00,1695149.69,5004
01/05/2019,1050,"Trade Mark",,SI0357,,34.00,1695115.69,5010
01/05/2019,1050,"Trade Mark",,GJ0079,3000.00,,1698115.69,5357
02/05/2019,1050,"Trade Mark",,GJ0056,,270.80,1697844.89,4984
02/05/2019,1050,"Trade Mark",,PCN0091,5870.40,,1703715.29,5029
02/05/2019,1050,"Trade Mark",,PDN0073,,875.56,1702839.73,5061
03/05/2019,1050,"Trade Mark",,PI0290,25.00,,1702864.73,5118
03/05/2019,1050,"Trade Mark",,SI0365,,345.00,1702519.73,5136
07/05/2019,1050,"Trade Mark",,SJ0050,,985.00,1701534.73,5153
07/05/2019,1050,"Trade Mark",,SJ0053,234.00,,1701768.73,5164
07/05/2019,1050,"Trade Mark",,SI0366,,234.00,1701534.73,5166
07/05/2019,1050,"Trade Mark",,IJ0092,,460.00,1701074.73,5666
08/05/2019,1050,"Trade Mark",,PI0291,52.00,,1701126.73,5188
09/05/2019,1050,"Trade Mark",,SJ0047,300.00,,1701426.73,5132
09/05/2019,1050,"Trade Mark",,CJ0128,46545.00,,1747971.73,5575
10/05/2019,1050,"Trade Mark",,SI0371,,324.67,1747647.06,5330
10/05/2019,1050,"Trade Mark",,SI0372,,343.00,1747304.06,5344
10/05/2019,1050,"Trade Mark",,SI0374,,56.67,1747247.39,5378
14/05/2019,1050,"Trade Mark",,GJ0084,5000.00,,1752247.39,5445
14/05/2019,1050,"Trade Mark",,GJ0088,5000.00,,1757247.39,5982
16/05/2019,1050,"Trade Mark",,111,,1.23,1757246.17,5265
16/05/2019,1050,"Trade Mark",,PI0305,45.67,,1757291.84,5572
16/05/2019,1050,"Trade Mark",,SI0385,,45.00,1757246.84,5577
16/05/2019,1050,"Trade Mark",,SI0393,,10.00,1757236.84,5630
20/05/2019,1050,"Trade Mark",,GJ0087,5000.00,,1762236.84,5896
21/05/2019,1050,"Trade Mark",,CJ0130,,435.67,1761801.17,5962
21/05/2019,1050,"Trade Mark",,GJ0088,4500.00,,1766301.17,5986
21/05/2019,1050,"Trade Mark",,GJ0088,500.00,,1766801.17,5987
21/05/2019,1050,"Trade Mark",,GJ0088,4500.00,,1771301.17,5991
21/05/2019,1050,"Trade Mark",,GJ0088,500.00,,1771801.17,5992
21/05/2019,1050,"Trade Mark",,GJ0088,4500.00,,1776301.17,5998
21/05/2019,1050,"Trade Mark",,GJ0088,500.00,,1776801.17,5999
21/05/2019,1050,"Trade Mark",,SI0416,,311.36,1776489.81,6004
21/05/2019,1050,"Trade Mark",,SI0416,74.73,,1776564.53,6005
22/05/2019,1050,"Trade Mark",,PCN0102,34.67,,1776599.20,6048
,1050,"Trade Mark","Closing Balance",,6841811.3941315,5058732.1726509,1776599.2014806,
,1089,"Intangible Assets - Total","Opening Balance",,,,0,
20/05/2019,1089,"Intangible Assets - Total",,GJ0087,4500.00,,4500.00,5900
20/05/2019,1089,"Intangible Assets - Total",,GJ0087,4500.00,,9000.00,5905
20/05/2019,1089,"Intangible Assets - Total",,GJ0087,4500.00,,13500.00,5912
20/05/2019,1089,"Intangible Assets - Total",,PDN0091,,45.67,13454.33,5953
20/05/2019,1089,"Intangible Assets - Total",,IJ0093,,200.00,13254.33,5963
,1089,"Intangible Assets - Total","Closing Balance",,13500,245.67,13254.33,
,1105,"Land & Buildings - Costs","Opening Balance",,,,-97516.03,
01/01/2019,1105,"Land & Buildings - Costs",,PI0151,,,-97516.03,1813
09/01/2019,1105,"Land & Buildings - Costs",,SI0158,,3.94,-97519.97,1827
05/02/2019,1105,"Land & Buildings - Costs",,SI0152,,6.00,-97525.97,1710
07/02/2019,1105,"Land & Buildings - Costs",,SI0116,,72.00,-97597.97,1312
07/02/2019,1105,"Land & Buildings - Costs",,PCN0035,12.00,,-97585.97,1824
10/02/2019,1105,"Land & Buildings - Costs",,SI0166,,12.00,-97597.97,1883
11/02/2019,1105,"Land & Buildings - Costs",,SI0167,,1.00,-97598.97,1886
12/02/2019,1105,"Land & Buildings - Costs",,SI0172,,72.00,-97670.97,1951
12/02/2019,1105,"Land & Buildings - Costs",,SI0175,,0.80,-97671.77,1962
12/02/2019,1105,"Land & Buildings - Costs",,SI0176,,15.00,-97686.77,1970
12/02/2019,1105,"Land & Buildings - Costs",,SI0180,,3.33,-97690.10,1998
14/02/2019,1105,"Land & Buildings - Costs",,PCN0040,5.00,,-97685.10,2144
19/02/2019,1105,"Land & Buildings - Costs",,SI0205,,46.00,-97731.10,2392
19/02/2019,1105,"Land & Buildings - Costs",,SI0207,,323.00,-98054.10,2504
19/02/2019,1105,"Land & Buildings - Costs",,56,979.00,,-97075.10,5283
20/02/2019,1105,"Land & Buildings - Costs",,SI0208,,4.00,-97079.10,2530
23/02/2019,1105,"Land & Buildings - Costs",,SI0214,,,-97079.10,2702
26/02/2019,1105,"Land & Buildings - Costs",,PI0177,3.00,,-97076.10,2795
26/02/2019,1105,"Land & Buildings - Costs",,SI0228,,4.00,-97080.10,2836
26/02/2019,1105,"Land & Buildings - Costs",,23,22.00,,-97058.10,2848
27/02/2019,1105,"Land & Buildings - Costs",,SI0232,,32.00,-97090.10,2900
01/03/2019,1105,"Land & Buildings - Costs",,SI0231,,,-97090.10,2883
01/03/2019,1105,"Land & Buildings - Costs",,PCN0055,,,-97090.10,2885
04/03/2019,1105,"Land & Buildings - Costs",,SI0235,,6.00,-97096.10,2908
04/03/2019,1105,"Land & Buildings - Costs",,PCN0056,3.00,,-97093.10,2911
04/03/2019,1105,"Land & Buildings - Costs",,PI0183,,,-97093.10,2917
04/03/2019,1105,"Land & Buildings - Costs",,PDN0039,,0.20,-97093.30,2920
04/03/2019,1105,"Land & Buildings - Costs",,PI0184,45.00,,-97048.30,2944
04/03/2019,1105,"Land & Buildings - Costs",,SI0241,,4.80,-97053.10,2963
05/03/2019,1105,"Land & Buildings - Costs",,YH-03,7654.00,,-89399.10,3187
06/03/2019,1105,"Land & Buildings - Costs",,SI0246,,25.00,-89424.10,3044
07/03/2019,1105,"Land & Buildings - Costs",,SI0249,,168.00,-89592.10,3106
07/03/2019,1105,"Land & Buildings - Costs",,PCN0062,160.00,,-89432.10,3109
07/03/2019,1105,"Land & Buildings - Costs",,SJ0030,,17.20,-89449.30,3522
08/03/2019,1105,"Land & Buildings - Costs",,SJ0027,69.49,,-89379.81,3259
12/03/2019,1105,"Land & Buildings - Costs",,PI0198,,,-89379.81,3308
12/03/2019,1105,"Land & Buildings - Costs",,PI0199,,,-89379.81,3311
12/03/2019,1105,"Land & Buildings - Costs",,PI0201,455.00,,-88924.81,3317
12/03/2019,1105,"Land & Buildings - Costs",,SI0252,,,-88924.81,3319
12/03/2019,1105,"Land & Buildings - Costs",,SI0254,,,-88924.81,3392
13/03/2019,1105,"Land & Buildings - Costs",,SJ0033,,324.00,-89248.81,5945
14/03/2019,1105,"Land & Buildings - Costs",,SI0159,,2.36,-89251.17,1830
15/03/2019,1105,"Land & Buildings - Costs",,SI0257,,163.20,-89414.37,3519
16/03/2019,1105,"Land & Buildings - Costs",,SJ0019,324.67,,-89089.70,3526
20/03/2019,1105,"Land & Buildings - Costs",,SI0262,,112.00,-89201.70,3603
20/03/2019,1105,"Land & Buildings - Costs",,PI0225,45.00,,-89156.70,3609
20/03/2019,1105,"Land & Buildings - Costs",,PI0226,567.00,,-88589.70,3615
20/03/2019,1105,"Land & Buildings - Costs",,PI0228,45.00,,-88544.70,3621
20/03/2019,1105,"Land & Buildings - Costs",,GJ0049,890.00,,-87654.70,3643
20/03/2019,1105,"Land & Buildings - Costs",,GJ0049,890.00,,-86764.70,3646
20/03/2019,1105,"Land & Buildings - Costs",,GJ0049,890.00,,-85874.70,3649
20/03/2019,1105,"Land & Buildings - Costs",,SI0269,,7040.00,-92914.70,3739
22/03/2019,1105,"Land & Buildings - Costs",,PI0229,22.67,,-92892.03,3709
22/03/2019,1105,"Land & Buildings - Costs",,PI0229,,1.60,-92893.63,3710
01/04/2019,1105,"Land & Buildings - Costs",,SI0273,,9856.00,-102749.63,3832
01/04/2019,1105,"Land & Buildings - Costs",,PI0236,5460.00,,-97289.63,3848
02/04/2019,1105,"Land & Buildings - Costs",,PCN0072,,6.00,-97295.63,3955
02/04/2019,1105,"Land & Buildings - Costs",,SJ0034,,0.01,-97295.65,4080
02/04/2019,1105,"Land & Buildings - Costs",,SJ0034,0.01,,-97295.63,4083
04/04/2019,1105,"Land & Buildings - Costs",,PI0241,212.80,,-97082.83,4094
05/04/2019,1105,"Land & Buildings - Costs",,PDN0060,,3.00,-97085.83,4300
05/04/2019,1105,"Land & Buildings - Costs",,PDN0061,,5.00,-97090.83,4326
06/04/2019,1105,"Land & Buildings - Costs",,PI0240,10.00,,-97080.83,4058
08/04/2019,1105,"Land & Buildings - Costs",,IJ0073,,6.90,-97087.73,4291
08/04/2019,1105,"Land & Buildings - Costs",,IJ0073,6.90,,-97080.83,4293
09/04/2019,1105,"Land & Buildings - Costs",,PDN0063,,2.40,-97083.23,4337
10/04/2019,1105,"Land & Buildings - Costs",,CJ0102,94.00,,-96989.23,4369
11/04/2019,1105,"Land & Buildings - Costs",,PI0253,343.00,,-96646.23,4374
11/04/2019,1105,"Land & Buildings - Costs",,PI0254,,,-96646.23,4377
11/04/2019,1105,"Land & Buildings - Costs",,PCN0081,,,-96646.23,4379
11/04/2019,1105,"Land & Buildings - Costs",,PDN0066,,200.00,-96846.23,4419
11/04/2019,1105,"Land & Buildings - Costs",,SI0314,,460.00,-97306.23,4439
15/04/2019,1105,"Land & Buildings - Costs",,SI0315,,288.00,-97594.23,4442
18/04/2019,1105,"Land & Buildings - Costs",,SI0319,,64.00,-97658.23,4532
18/04/2019,1105,"Land & Buildings - Costs",,SI0319,25.60,,-97632.63,4533
23/04/2019,1105,"Land & Buildings - Costs",,PCN0083,2.64,,-97629.99,4623
24/04/2019,1105,"Land & Buildings - Costs",,PI0272,20.00,,-97609.99,4715
24/04/2019,1105,"Land & Buildings - Costs",,PI0274,0.24,,-97609.75,4721
25/04/2019,1105,"Land & Buildings - Costs",,PCN0086,4.80,,-97604.95,4738
26/04/2019,1105,"Land & Buildings - Costs",,SI0342,,34.00,-97638.95,4814
27/04/2019,1105,"Land & Buildings - Costs",,PI0278,180.00,,-97458.95,4833
27/04/2019,1105,"Land & Buildings - Costs",,SI0346,,9.20,-97468.15,4853
30/04/2019,1105,"Land & Buildings - Costs",,GJ0059,32.00,,-97436.15,4945
30/04/2019,1105,"Land & Buildings - Costs",,SJ0043,6543.00,,-90893.15,5018
01/05/2019,1105,"Land & Buildings - Costs",,SI0354,,2920.29,-93813.45,5001
